,gold_sents,pegasus_output_sents
10,"In 2016, prisoners that had completed their sentences but remained incarcerated by the Illinois Department of Corrections filed this class action against the state in the U.S. District Court for the Northern District of Illinois.[SENTMARKER]The plaintiffs alleged that the Illinois statutory scheme governing mandatory supervised release (MSR) for sex offenders and the requirement for offenders to have an approved “host site” in order to be released from custody violated their Eighth and Fourteenth Amendment rights.[SENTMARKER]The court awarded the plaintiffs summary judgment on the Eighth and Fourteenth Amendment claims.[SENTMARKER]The court entered a permanent injunction on January 15, 2020,  requiring IDOC to present a plan for releasing class members from custody, and quarterly reports outlining steps that were being taken to ensure that all class members would be properly released by January 2, 2021.[SENTMARKER]As of July 2020, the court's supervision of IDOC's progress is ongoing.","On December 19, 2016, a group of homeless sex-offenders filed a class action lawsuit in the U.S. District Court for the Northern District of Illinois against the Illinois Attorney General and the Director of the Illinois Department of Corrections.[SENTMARKER]The plaintiffs alleged that the defendants violated their Eighth and Fourteenth Amendment rights by failing to provide them with adequate housing after their release from prison.[SENTMARKER]The court granted the plaintiffs' motion for class certification and ordered the defendants to provide housing for the plaintiffs.[SENTMARKER]The case is ongoing."
11,"On October 21, 2015, a private plaintiff sued the City of Dodge City, Kansas and Ford County in a civil rights action arising under 42 U.S.C. § 1983.[SENTMARKER]The plaintiff alleged that the Dodge City's wealth-based post-arrest detention scheme violated the Due Process and Equal Protection Clauses of the Fourteenth Amendment.[SENTMARKER]The plaintiff sought injunctive relief, compensatory damages, and a declaration that the City's wealth-based detention practices were unlawful.[SENTMARKER]The parties agreed to settle that the City would be enjoined from holding an arrestee in custody after a non-warrant arrest on the basis of inability to post bond.[SENTMARKER]The court retains jurisdiction to enforce the injunction but the case otherwise appears closed.","On October 21, 2015, a class action lawsuit was filed in the U.S. District Court for the District of Kansas against the City of Dodge City and the Ford County Sheriff's Department.[SENTMARKER]The plaintiffs alleged that Dodge City's wealth-based post-arrest detention scheme operated to jail some of the city's poorest residents solely because they cannot pay an arbitrary amount of money.[SENTMARKER]On April 22, 2016, the parties entered into a settlement agreement."
12,"In 2015, prisoners in the Kentucky Clark County Jail filed this class action in the U.S. District Court for the Eastern District of Kentucky, alleging that the state did not afford adequate procedural right prior to unlawfully charging inmates a fee for their incarceration without an order from the sentencing court.[SENTMARKER]The plaintiffs sought a declaratory judgment, permanent injunction of the practice, and monetary damages.[SENTMARKER]The court granted the defendants' motion to dismiss and dismissed all claims alleged in the complaint with prejudice, and all pending motions were denied moot.[SENTMARKER]In 2016, the plaintiffs appealed but the appeals court affirmed the judgment of the district court.","On November 30, 2015, a class action lawsuit was filed in the U.S. District Court for the Eastern District of Kentucky against Clark County, Kentucky and Clark County Jailer, Frank Doyle, individually.[SENTMARKER]The plaintiff alleged that the defendants' practice of charging jailers for incarceration costs without due process violated the Fourteenth Amendment and the Equal Protection and Due Process Clauses of the First Amendment to the United States Constitution.[SENTMARKER]On March 22, 2016, the Court granted Defendants' motion to dismiss the case.[SENTMARKER]On December 19, 2016, the case was closed."
13,"This 2017 class lawsuit was brought by two residents of East Baton Rouge Parish in the U.S. District Court for the Middle District of Louisiana.[SENTMARKER]The plaintiffs alleged that, in charging fees in addition to bail to be released from prison before trial, the defendant RHI had violated federal and state anti-racketeering law, their Due Process and Equal Protection rights, and the right to be free from unreasonable searches and seizures.[SENTMARKER]The parties reached a private settlement, and the case was dismissed on February 20, 2020.","On August 7, 2017, a class action lawsuit was filed in the U.S. District Court for the Middle District of Louisiana against Rehabilitation Home Incarceration and the East Baton Rouge Parish Sheriff's Office.[SENTMARKER]The plaintiffs alleged that Rehabilitation Home, a private organization purporting to provide pretrial supervision services, profited off individuals in pretrial custody.[SENTMARKER]The defendants filed a motion to dismiss, which was denied by the Court.[SENTMARKER]The case is now closed."
14,"In 2015, indigent former criminal defendants filed this putative class action lawsuit in the U.S. District Court for the Eastern District of Louisiana.[SENTMARKER]Plaintiffs alleged that that the defendants had a practice of imprisoning individuals who had failed to pay court debts without meaningfully determining whether the individuals had the ability to pay the debt.[SENTMARKER]In August 2018, granted plaintiffs’ motion for class certification, and held that the Judges’ policy/practice of not inquiring into the ability of the persons falling within the certified class to pay before they are imprisoned for non-payment of court debts was unconstitutional, and that the Judges’ failure to provide a neutral forum for determination of such persons’ ability to pay was unconstitutional.[SENTMARKER]The defendants appealed to the Fifth Circuit Court of Appeals.[SENTMARKER]The Fifth Circuit affirmed the lower court on August 23, 2019.[SENTMARKER]The defendants petitioned the Fifth Circuit to rehear the case en banc on September 6, 2019, but the court denied to rehear on September 30.[SENTMARKER]The defendants filed a petition for writ of certiorari in the U.S. Supreme Court on December 20, 2019.[SENTMARKER]Cert was denied on March 3, 2020.","On September 17, 2015, a class action lawsuit was filed in the U.S. District Court for the Eastern District of Louisiana against the City of New Orleans.[SENTMARKER]The plaintiffs alleged that the City had violated the Equal Protection Clause of the Fourteenth Amendment of the United States Constitution by failing to comply with the requirements of the Louisiana Civil Rights Act.[SENTMARKER]The case was dismissed on April 24, 2018 by the Court of Appeals for the Fifth Circuit."
15,"A class-action lawsuit sought declaratory judgment against twelve Louisiana judges, alleging that the judges violated Plaintiffs' Due Process and Equal Protection rights by imposing bail without determining whether arrestees could pay.[SENTMARKER]The complaint also alleged an improper financial incentive for judges to impose bail in order to receive a portion of the money for their general expense fund.","On November 11, 2018, a class action lawsuit was filed in the U.S. District Court for the Eastern District of Louisiana against the Orleans Parish Criminal District Court judges.[SENTMARKER]The plaintiffs alleged that the judges unlawfully imposed secured financial conditions of release in an amount that individuals cannot afford, without any inquiry into or findings concerning their ability to pay or alternatives to incarceration.[SENTMARKER]The Court dismissed the class action on June 5, 2019."
16,"In December 2020, four individuals at East Baton Rouge Parish Prison (EBRPP) filed this class action lawsuit alleging violations of their Fourteenth and Sixth Amendment rights by judicial and prison officials.[SENTMARKER]On December 15, the plaintiffs filed a motion for temporary restraining order and preliminary injunction.[SENTMARKER]The request for a temporary restraining order was later withdrawn in January 2021.[SENTMARKER]A settlement conference is scheduled for March 11 and the deadline for the parties to file a joint status report is March 21.[SENTMARKER]The defendants' responsive pleading to the complaint is due on March 22, 2021.[SENTMARKER]This case is ongoing.","On December 15, 2017, a class action lawsuit was filed in the U.S. District Court for the Middle District of Louisiana against the East Baton Rouge Parish Sheriff's Office and the East Louisiana Correctional Facility.[SENTMARKER]The plaintiffs alleged that the defendants' practice of detaining people on poor bail violates the Due Process and Equal Protection rights of those who are too poor to pay for their freedom.[SENTMARKER]The case is now closed."
17,"On January 19, 2006, a death-sentenced inmate of the Maryland Correctional Adjustment Center in Baltimore, Maryland filed a lawsuit under 42 U.S.C. § 1983 against the Maryland Department of Corrections in the U.S. District Court for the District of Maryland.[SENTMARKER]The plaintiff objected to the three-drug cocktail (sodium pentothal, pancuronium bromide, and potassium chloride) used in Maryland's lethal injections.[SENTMARKER]The plaintiff argued that the defendant's lethal injection procedures arbitrarily and unnecessarily created a grave risk that he would suffer extreme pain during his execution, thus violating his rights under the Eighth and Fourteenth Amendments.[SENTMARKER]The plaintiff also filed a similar complaint in the Circuit Court for Baltimore City alleging that the defendants failed to follow Maryland law because the execution protocol had not been adopted under the Maryland Administrative Procedures Act (MAPA).[SENTMARKER]On December 19, 2006 the Maryland Court of Appeals invalidated the Maryland execution protocols until such time as they were properly adopted under MAPA or exempted from that requirement by an act of the Maryland General Assembly.[SENTMARKER]On January 29, 2007, two bills were introduced in the Maryland General Assembly, one that would exempt the death penalty protocols from the MAPA requirement and one that would repeal the death penalty in the state.[SENTMARKER]The judge agreed to stay the proceedings of this case pending the outcome of the legislation.[SENTMARKER]According to the status report on March 14, 2011, all executions in Maryland had been stayed until the proper administrative regulations were adopted.[SENTMARKER]On August 16, 2012 this case was administratively closed.[SENTMARKER]In May 2013 the Maryland legislature repealed the death penalty for all future convictions and in December 2014 Governor O'Malley commuted the death sentences of the four remaining death-row inmates to life without the possibility of parole.","On February 3, 2006, a former inmate of the Maryland Correctional Adjustment Center filed this class action lawsuit against the Department of Public Safety and Correctional Services (DPSC) in the U.S. District Court for the District of Maryland.[SENTMARKER]The plaintiff alleged that the DPSC failed to provide adequate mental health services to its inmates.[SENTMARKER]The court granted the plaintiff's motion for summary judgment, and the case was closed on February 8, 2016."
18,"In response to the economic crisis caused by the COVID-19 pandemic of 2020, Congress passed the CARES Act, which created, among other things, the “Paycheck Protection Program.”[SENTMARKER]Under this program, small business owners could apply for a loan from the Small Business Administration; if they later certified that all of the loan funds had been used for qualifying expenses, the loan would be forgiven.[SENTMARKER]The SBA’s rules disqualified many small business owners with criminal records.[SENTMARKER]Several small business owners brought this lawsuit against the SBA in the U.S. District Court for the District of Maryland, challenging this criminal record exclusion.[SENTMARKER]On June 29, the court granted a preliminary injunction requiring the SBA to extend the application deadline for the named plaintiffs from June 30 to July 21, 2020.[SENTMARKER]The following week, Congress passed follow-up legislation extending the deadline for all applicants to August 8, 2020.[SENTMARKER]As of July 29, 2020, further developments in the litigation are pending.","On June 16, 2020, a group of small business owners filed a class action lawsuit in the U.S. District Court for the District of Maryland.[SENTMARKER]The plaintiffs alleged that the Small Business Administration (SBA) violated the Administrative Procedures Act (APA) by requiring them to pay a fee to the SBA for services that they did not provide.[SENTMARKER]The court granted the plaintiffs' motion for preliminary injunction.[SENTMARKER]The parties agreed to a conference call on June 29, 2020."
19,"On February 8, 2015, persons jailed for failing to pay their legal fines sued the City of Ferguson in the U.S. District Court for the Eastern District of Missouri under 42 U.S.C. § 1983, arguing that the City violated the Fourth, Sixth, Eighth, and Fourteenth Amendments of the U.S Constitution.[SENTMARKER]They asked the court for declaratory relief, injunctive relief, monetary damages, attorneys' fees, and costs.[SENTMARKER]The court denied multiple motions to dismiss, and the parties have engaged in extensive discovery.[SENTMARKER]The case is ongoing.","On February 8, 2015, a group of residents of Ferguson, Missouri, filed a lawsuit in the U.S. District Court for the Eastern District of Missouri against the City of Ferguson.[SENTMARKER]The plaintiffs alleged that the City's policies and practices violated the First and Fourteenth Amendments of the United States Constitution.[SENTMARKER]The case was settled in 2017, and the plaintiffs filed a motion for summary judgment on the grounds that the city had violated the Constitution by failing to comply with the terms of the settlement agreement."
20,"On May 27, 2015, a person jailed by the City of St. Ann, Missouri (the City), for failing to pay the fee required under the City's secured bail system, sued the City in the U.S. District Court for the Eastern District of Missouri, arguing that the City had violated the Fourteenth Amendment of the U.S. Constitution, and asking for declaratory relief, injunctive relief, damages, attorneys' fees, and costs.[SENTMARKER]On September 3, 2015, the Judge assigned to the case, Judge Rodney W. Sippel, granted a stay in the proceedings to allow the parties to test the effects of a provisional settlement agreement, under which plaintiff agreed to drop his non-equitable claims, and under which the City agreed to end its secured bail policy and pay the plaintiff a $10,000 fee for acting as a class representative.[SENTMARKER]On May 4, 2018, a Consent Agreement was signed by Judge Sippel, whereby most of the original relief sought was agreed to by the Defendant.[SENTMARKER]The Court retains jurisdiction for two years, which may be extended for one more year upon agreement.","On May 27, 2015, a class action lawsuit was filed in the U.S. District Court for the Eastern District of Missouri against the City of St. Ann and its police department.[SENTMARKER]The plaintiffs alleged that the city's policy of keeping people in jail because they could not afford to pay a small amount of money violated their civil rights.[SENTMARKER]The parties entered into a settlement agreement in September 2015 and the case was closed on May 4, 2018."
21,"On August 9, 2016, a group of individuals who were placed in jail because of an inability to pay fines, penalties, and other charges filed a class action lawsuit in the U.S. District Court for the Eastern District of Missouri.[SENTMARKER]The plaintiffs sued thirteen St. Louis County municipalities under 42 U.S.C. § 1983 and § 2201.[SENTMARKER]The plaintiffs, represented by ArchCity Defenders and private counsel, asked the court for declaratory, injunctive, and compensatory relief, claiming violations of the Fourth, Sixth, and Fourteenth Amendments.[SENTMARKER]In their complaint, the plaintiffs claimed that the defendant municipalities engaged in a deliberate and coordinated conspiracy to fill their coffers by extorting money from thousands of poor, disproportionately African-American people in the St. Louis region.[SENTMARKER]On April 24, 2017, the case was dismissed as to all defendant municipalities except the City of St. Ann.[SENTMARKER]The case (including mediation efforts) is ongoing against the City.","On August 9, 2016, a class action lawsuit was filed in the U.S. District Court for the Eastern District of Missouri against the City of St. Ann.[SENTMARKER]The plaintiffs alleged that the City’s policies and practices violated the First and Fourteenth Amendments of the United States Constitution and the Missouri Constitution.[SENTMARKER]The case was settled on September 14, 2018."
22,"In June 2017, a man awaiting criminal trial and Lexington National Insurance Corporation filed this lawsuit in the U.S. District Court for the District of New Jersey.[SENTMARKER]The plaintiffs alleged that that the Criminal Justice Reform Act violated the bail provision of the Eighth Amendment, due process under the Fourteenth Amendment, and freedom from unreasonable search and seizure under the Fourth Amendment because the act favored non-monetary pre-trial release conditions over bail.[SENTMARKER]After and appeal to the Third Circuit regarding denial of preliminary injunction and a subsequent denial of certiorari in the Supreme Court, the plaintiff voluntarily dismissed the case.[SENTMARKER]This case is now closed.","On June 14, 2017, a group of New Jersey residents filed a class action lawsuit in the U.S. District Court for the District of New York against the New Jersey Attorney General's Office and the defendants.[SENTMARKER]The plaintiffs alleged that the defendants had violated the Americans with Disabilities Act (ADA) and the Rehabilitation Act of 1973.[SENTMARKER]The case was dismissed on July 28, 2017, and the plaintiffs appealed to the Third Circuit Court of Appeals."
23,"Persons in the custody of the New York State Department of Correctional Services (DOCS) brought this class action against DOCS and the New York State Division of Parole (DOP) for the extra-judicial imposition of sentences requiring post-release supervision.[SENTMARKER]The defendants' motion to dismiss was denied by the District Court, and the Court of Appeals for the Second Circuit affirmed.[SENTMARKER]The defendants' motion for summary judgment was granted with respect to several defendants, but denied on the issue of qualified immunity; and plaintiffs' cross motion for partial summary judgment on the issue of liability for three officers was granted.[SENTMARKER]The defendants appealed the qualified immunity decision, but the Second Circuit affirmed.[SENTMARKER]On remand, the defendants moved for summary judgment again, but that motion was denied.[SENTMARKER]The case is currently scheduled for trial in Summer 2021.","On May 11, 2011, the New York State Department of Correctional Services (DOCS) filed this class action lawsuit in the U.S. District Court for the Southern District of New York.[SENTMARKER]The plaintiffs alleged that the state's mandatory sentence of post-release supervision for certain violent felons violated the Fourteenth Amendment and the Equal Protection Clause of the First Amendment.[SENTMARKER]The district court denied the plaintiffs' motion for summary judgment, and the case was dismissed.[SENTMARKER]The Second Circuit affirmed the district court's decision."
24,"Civil Rights Corps sued Tulsa County and various judicial officers, alleging that the court system operated a wealth-based detention system by detaining arrestees without inquiring into their ability to pay bail.[SENTMARKER]While the plaintiffs motion for preliminary injunction was denied, the plaintiffs motion for class certification is still pending.","On April 3, 2018, a group of Tulsa County residents filed a class action lawsuit in the U.S. District Court for the Northern District of Oklahoma against the Tulsa County Sheriff's Office.[SENTMARKER]The plaintiffs alleged that the sheriff's office violated the Americans with Disabilities Act (ADA) and the Fair Housing Act (FHRA) by failing to provide adequate housing for the residents of the county.[SENTMARKER]The case was settled on November 19, 2018.[SENTMARKER]The plaintiffs filed a motion for preliminary injunction, which was denied."
25,"On March 25, 2015, the plaintiffs filed a consumer class action on behalf of consumers nationwide who had been the subject of misleading and inaccurate background reports sold by the defendant, RealPage, Inc. to landlords.[SENTMARKER]The plaintiffs sued in the U.S. District Court for the Eastern District of Pennsylvania under the Fair Credit Reporting Act (FCRA), alleging that the defendant, RealPage, Inc., adopted and maintained a policy and practice of failing to timely update the criminal record information it maintained so as to eliminate records of cases that have been expunged, thus not accurately reflecting the final disposition of these cases.[SENTMARKER]Moreover, the plaintiffs alleged that the defendant systematically violated FCRA by failing to provide complete and accurate disclosures of all information the defendant maintains about consumers to these consumers upon request.[SENTMARKER]The parties settled, and the defendant agreed to provide consumers additional information about federal agencies responsible for enforcing FCRA, refrain from including expunged criminal records in tenant screening reports, and disclose the names of vendors who retrieved criminal record information to consumers, plus damages.[SENTMARKER]The settlement term ended in 2020, and the case is now closed.","This is a consumer class action brought for violations of the Fair Credit Reporting Act, 15 U.S.C. 1681-1681x (FCRA) in the United States District Court for the Eastern District of Pennsylvania on behalf of consumers who had been the subject of misleading and inaccurate background reports sold by RealPage, Inc. (RealPage) and its affiliates.[SENTMARKER]The parties entered into a settlement agreement in which RealPage agreed to pay a total of $1 million to consumers who were subject to false or misleading background reports."
26,"In 2020, the Nashville Community Bail Fund filed this lawsuit in the U.S. District Court for the Middle District of Tennessee.[SENTMARKER]The plaintiff alleged that a local rule which required it to agree to garnishment of judgment fees from bail bonds before it could post bail for indigent arrestees violated the Eighth and Fourteenth Amendments of the Constitution and threatened its ability to operate as a non-profit.[SENTMARKER]The District Judge granted a preliminary injunction in March 2020 enjoining the County Criminal Court Clerk from garnishing fees from bonds posted by the Bail Fund.[SENTMARKER]In December 2020, the District Judge approved a consent decree where the Bail Fund and the County Government agreed to make the injunction permanent.[SENTMARKER]The matter is ongoing as the parties are litigating over who should pay attorneys fees and how much.","On February 5, 2020, the Nashville Community Bail Fund (NCBF) filed this lawsuit in the U.S. District Court for the Middle District of Tennessee against the Court Clerk of the Twentieth Judicial District of Davidson County, Tennessee.[SENTMARKER]The NCBF alleged that Davidson County's bail system violated the Fourteenth Amendment due process and equal protection rights of low-income people arrested and jailed in the county.[SENTMARKER]The court granted the defendants' motion to dismiss, and the parties agreed to a preliminary injunction.[SENTMARKER]The case is now closed."
