,gold_sents,oreo_pegasus_output_sents
10,"In 2016, prisoners that had completed their sentences but remained incarcerated by the Illinois Department of Corrections filed this class action against the state in the U.S. District Court for the Northern District of Illinois.[SENTMARKER]The plaintiffs alleged that the Illinois statutory scheme governing mandatory supervised release (MSR) for sex offenders and the requirement for offenders to have an approved “host site” in order to be released from custody violated their Eighth and Fourteenth Amendment rights.[SENTMARKER]The court awarded the plaintiffs summary judgment on the Eighth and Fourteenth Amendment claims.[SENTMARKER]The court entered a permanent injunction on January 15, 2020,  requiring IDOC to present a plan for releasing class members from custody, and quarterly reports outlining steps that were being taken to ensure that all class members would be properly released by January 2, 2021.[SENTMARKER]As of July 2020, the court's supervision of IDOC's progress is ongoing.","In 2013, a group of homeless sex offenders filed a class action lawsuit in the U.S. District Court for the Northern District of Illinois against the Illinois Attorney General and the Director of the Illinois Department of Corrections.[SENTMARKER]The plaintiffs alleged that the defendants violated their Eighth and Fourteenth Amendment rights by denying them release from prison to an approved host site.[SENTMARKER]The defendants moved for summary judgment, and the court granted the defendants' motion.[SENTMARKER]The case is ongoing."
11,"On October 21, 2015, a private plaintiff sued the City of Dodge City, Kansas and Ford County in a civil rights action arising under 42 U.S.C. § 1983.[SENTMARKER]The plaintiff alleged that the Dodge City's wealth-based post-arrest detention scheme violated the Due Process and Equal Protection Clauses of the Fourteenth Amendment.[SENTMARKER]The plaintiff sought injunctive relief, compensatory damages, and a declaration that the City's wealth-based detention practices were unlawful.[SENTMARKER]The parties agreed to settle that the City would be enjoined from holding an arrestee in custody after a non-warrant arrest on the basis of inability to post bond.[SENTMARKER]The court retains jurisdiction to enforce the injunction but the case otherwise appears closed.","Plaintiff filed this suit in the U.S. District Court for the District of Colorado against the City of Dodge City, the Ford County Sheriff's Office, and the County of Ford County on April 14, 2016.[SENTMARKER]The suit alleges that Dodge City's wealth-based detention scheme has no place in a system that promises equal justice under law, and it violates the Due Process and Equal Protection Clauses of the Constitution.[SENTMARKER]The suit seeks declaratory, injunctive, and compensatory relief."
12,"In 2015, prisoners in the Kentucky Clark County Jail filed this class action in the U.S. District Court for the Eastern District of Kentucky, alleging that the state did not afford adequate procedural right prior to unlawfully charging inmates a fee for their incarceration without an order from the sentencing court.[SENTMARKER]The plaintiffs sought a declaratory judgment, permanent injunction of the practice, and monetary damages.[SENTMARKER]The court granted the defendants' motion to dismiss and dismissed all claims alleged in the complaint with prejudice, and all pending motions were denied moot.[SENTMARKER]In 2016, the plaintiffs appealed but the appeals court affirmed the judgment of the district court.","Plaintiff filed this lawsuit in the U.S. District Court for the Eastern District of Kentucky against Clark County, Kentucky, alleging that the county was violating the Fourteenth Amendment by charging inmates a fee for their incarceration without an order from a sentencing court.[SENTMARKER]The district court granted the county's motion to dismiss, dismissed the federal claims with prejudice, and dismissed the state claims without prejudice.[SENTMARKER]The case is now closed."
13,"This 2017 class lawsuit was brought by two residents of East Baton Rouge Parish in the U.S. District Court for the Middle District of Louisiana.[SENTMARKER]The plaintiffs alleged that, in charging fees in addition to bail to be released from prison before trial, the defendant RHI had violated federal and state anti-racketeering law, their Due Process and Equal Protection rights, and the right to be free from unreasonable searches and seizures.[SENTMARKER]The parties reached a private settlement, and the case was dismissed on February 20, 2020.","On February 27, 2017, two prisoners filed this lawsuit in the U.S. District Court for the Middle District of Louisiana against East Baton Rouge Parish and RHI 121.[SENTMARKER]The plaintiffs alleged that the defendants violated the Fourteenth Amendment due process and equal protection provisions of the Federal Constitution.[SENTMARKER]The case was settled on February 27, 2017.[SENTMARKER]The court ordered the defendants to pay the plaintiffs $500."
14,"In 2015, indigent former criminal defendants filed this putative class action lawsuit in the U.S. District Court for the Eastern District of Louisiana.[SENTMARKER]Plaintiffs alleged that that the defendants had a practice of imprisoning individuals who had failed to pay court debts without meaningfully determining whether the individuals had the ability to pay the debt.[SENTMARKER]In August 2018, granted plaintiffs’ motion for class certification, and held that the Judges’ policy/practice of not inquiring into the ability of the persons falling within the certified class to pay before they are imprisoned for non-payment of court debts was unconstitutional, and that the Judges’ failure to provide a neutral forum for determination of such persons’ ability to pay was unconstitutional.[SENTMARKER]The defendants appealed to the Fifth Circuit Court of Appeals.[SENTMARKER]The Fifth Circuit affirmed the lower court on August 23, 2019.[SENTMARKER]The defendants petitioned the Fifth Circuit to rehear the case en banc on September 6, 2019, but the court denied to rehear on September 30.[SENTMARKER]The defendants filed a petition for writ of certiorari in the U.S. Supreme Court on December 20, 2019.[SENTMARKER]Cert was denied on March 3, 2020.","On August 6, 2015, the OPCDC Judicial Expense Fund filed a class action lawsuit in the U.S. District Court for the Eastern District of Louisiana.[SENTMARKER]The OPCDC challenged the Judges' policy or practice of not inquiring into the ability to pay of criminal defendants before they are imprisoned for nonpayment of court debts.[SENTMARKER]The Court granted the plaintiffs' motion for class certification, finding that the Judges’ failure to provide a neutral forum for determination of such persons’ inability to pay is unconstitutional.[SENTMARKER]The case is now closed."
15,"A class-action lawsuit sought declaratory judgment against twelve Louisiana judges, alleging that the judges violated Plaintiffs' Due Process and Equal Protection rights by imposing bail without determining whether arrestees could pay.[SENTMARKER]The complaint also alleged an improper financial incentive for judges to impose bail in order to receive a portion of the money for their general expense fund.",The Fourteenth Amendment’s Due Process and Equal Protection Clauses have long prohibited keeping a person in jail solely because of the person’s inability to make a monetary payment.[SENTMARKER]A declaratory judgment that the defendants violate the named plaintiffs’ and Class members’ constitutional rights by jailing them solely because they are poor and cannot afford to pay an amount of money to secure release.
16,"In December 2020, four individuals at East Baton Rouge Parish Prison (EBRPP) filed this class action lawsuit alleging violations of their Fourteenth and Sixth Amendment rights by judicial and prison officials.[SENTMARKER]On December 15, the plaintiffs filed a motion for temporary restraining order and preliminary injunction.[SENTMARKER]The request for a temporary restraining order was later withdrawn in January 2021.[SENTMARKER]A settlement conference is scheduled for March 11 and the deadline for the parties to file a joint status report is March 21.[SENTMARKER]The defendants' responsive pleading to the complaint is due on March 22, 2021.[SENTMARKER]This case is ongoing.","This case was brought by a group of prisoners in the East Baton Rouge Parish Prison (EBRPP) against the Sheriff's Office and the Warden of the EBRPP.[SENTMARKER]The plaintiffs alleged that the defendants violated the Sixth Amendment by denying them equal protection under the law.[SENTMARKER]The case was dismissed on October 27, 2020.[SENTMARKER]The plaintiffs filed a motion to dismiss and a motion for release of bond on December 15, 2020."
17,"On January 19, 2006, a death-sentenced inmate of the Maryland Correctional Adjustment Center in Baltimore, Maryland filed a lawsuit under 42 U.S.C. § 1983 against the Maryland Department of Corrections in the U.S. District Court for the District of Maryland.[SENTMARKER]The plaintiff objected to the three-drug cocktail (sodium pentothal, pancuronium bromide, and potassium chloride) used in Maryland's lethal injections.[SENTMARKER]The plaintiff argued that the defendant's lethal injection procedures arbitrarily and unnecessarily created a grave risk that he would suffer extreme pain during his execution, thus violating his rights under the Eighth and Fourteenth Amendments.[SENTMARKER]The plaintiff also filed a similar complaint in the Circuit Court for Baltimore City alleging that the defendants failed to follow Maryland law because the execution protocol had not been adopted under the Maryland Administrative Procedures Act (MAPA).[SENTMARKER]On December 19, 2006 the Maryland Court of Appeals invalidated the Maryland execution protocols until such time as they were properly adopted under MAPA or exempted from that requirement by an act of the Maryland General Assembly.[SENTMARKER]On January 29, 2007, two bills were introduced in the Maryland General Assembly, one that would exempt the death penalty protocols from the MAPA requirement and one that would repeal the death penalty in the state.[SENTMARKER]The judge agreed to stay the proceedings of this case pending the outcome of the legislation.[SENTMARKER]According to the status report on March 14, 2011, all executions in Maryland had been stayed until the proper administrative regulations were adopted.[SENTMARKER]On August 16, 2012 this case was administratively closed.[SENTMARKER]In May 2013 the Maryland legislature repealed the death penalty for all future convictions and in December 2014 Governor O'Malley commuted the death sentences of the four remaining death-row inmates to life without the possibility of parole.","On January 19, 2006, a death row inmate in Maryland filed a lawsuit in the U.S. District Court for the District of Maryland against the Maryland Department of Corrections.[SENTMARKER]The inmate claimed that the state's lethal injection protocols violated his Eighth and Fourteenth Amendment rights.[SENTMARKER]The District Court denied relief, and the Fifth Circuit affirmed.[SENTMARKER]On August 29, 1995, the Circuit Court for Baltimore County granted post-conviction relief to the inmate.[SENTMARKER]On January 29, 2007, House Bill 225 was introduced in the Maryland General Assembly and assigned to committee.[SENTMARKER]The bill would repeal the death penalty in Maryland."
18,"In response to the economic crisis caused by the COVID-19 pandemic of 2020, Congress passed the CARES Act, which created, among other things, the “Paycheck Protection Program.”[SENTMARKER]Under this program, small business owners could apply for a loan from the Small Business Administration; if they later certified that all of the loan funds had been used for qualifying expenses, the loan would be forgiven.[SENTMARKER]The SBA’s rules disqualified many small business owners with criminal records.[SENTMARKER]Several small business owners brought this lawsuit against the SBA in the U.S. District Court for the District of Maryland, challenging this criminal record exclusion.[SENTMARKER]On June 29, the court granted a preliminary injunction requiring the SBA to extend the application deadline for the named plaintiffs from June 30 to July 21, 2020.[SENTMARKER]The following week, Congress passed follow-up legislation extending the deadline for all applicants to August 8, 2020.[SENTMARKER]As of July 29, 2020, further developments in the litigation are pending.","On March 27, 2020, the U.S. District Court for the District of Maryland granted a preliminary injunction against the Small Business Administration's Paycheck Protection Program ( PPP Rule 20) in response to the Coronavirus Aid, Relief, and Economic Security Act (CARES Act) passed by Congress on March 27, 2020.[SENTMARKER]The plaintiffs sued the SBA, alleging that the PPP Rule excluded them from the program because of their criminal history.[SENTMARKER]The court granted the plaintiffs' motion for expedited briefing and extended the deadline to apply for the PPP until July 21, 2020."
19,"On February 8, 2015, persons jailed for failing to pay their legal fines sued the City of Ferguson in the U.S. District Court for the Eastern District of Missouri under 42 U.S.C. § 1983, arguing that the City violated the Fourth, Sixth, Eighth, and Fourteenth Amendments of the U.S Constitution.[SENTMARKER]They asked the court for declaratory relief, injunctive relief, monetary damages, attorneys' fees, and costs.[SENTMARKER]The court denied multiple motions to dismiss, and the parties have engaged in extensive discovery.[SENTMARKER]The case is ongoing.","This is a civil rights action arising under 42 U.S.C.  1983 and the First, Fourth, Sixth, Eighth, and Fourteenth Amendments to the United States Constitution.[SENTMARKER]The plaintiff has been jailed at least four times in the City of Ferguson when he could not afford to pay old fines and court costs.[SENTMARKER]The plaintiffs filed suit on February 8, 2015, represented by attorneys from, among other organizations, ArchCity Defenders.[SENTMARKER]They sought compensatory damages as well as declaratory and injunctive relief."
20,"On May 27, 2015, a person jailed by the City of St. Ann, Missouri (the City), for failing to pay the fee required under the City's secured bail system, sued the City in the U.S. District Court for the Eastern District of Missouri, arguing that the City had violated the Fourteenth Amendment of the U.S. Constitution, and asking for declaratory relief, injunctive relief, damages, attorneys' fees, and costs.[SENTMARKER]On September 3, 2015, the Judge assigned to the case, Judge Rodney W. Sippel, granted a stay in the proceedings to allow the parties to test the effects of a provisional settlement agreement, under which plaintiff agreed to drop his non-equitable claims, and under which the City agreed to end its secured bail policy and pay the plaintiff a $10,000 fee for acting as a class representative.[SENTMARKER]On May 4, 2018, a Consent Agreement was signed by Judge Sippel, whereby most of the original relief sought was agreed to by the Defendant.[SENTMARKER]The Court retains jurisdiction for two years, which may be extended for one more year upon agreement.","This case was brought in the U.S. District Court for the Eastern District of Missouri against the City of St. Ann, a municipal corporation organized under the laws of the State of Missouri.[SENTMARKER]The parties alleged that the City's use of a fixed cash bail system for new arrestees violated the Fourteenth Amendment and the Constitution.[SENTMARKER]The Court granted the parties' motion for the entry of a stay in this matter for a period of 12 months to allow for settlement discussions."
21,"On August 9, 2016, a group of individuals who were placed in jail because of an inability to pay fines, penalties, and other charges filed a class action lawsuit in the U.S. District Court for the Eastern District of Missouri.[SENTMARKER]The plaintiffs sued thirteen St. Louis County municipalities under 42 U.S.C. § 1983 and § 2201.[SENTMARKER]The plaintiffs, represented by ArchCity Defenders and private counsel, asked the court for declaratory, injunctive, and compensatory relief, claiming violations of the Fourth, Sixth, and Fourteenth Amendments.[SENTMARKER]In their complaint, the plaintiffs claimed that the defendant municipalities engaged in a deliberate and coordinated conspiracy to fill their coffers by extorting money from thousands of poor, disproportionately African-American people in the St. Louis region.[SENTMARKER]On April 24, 2017, the case was dismissed as to all defendant municipalities except the City of St. Ann.[SENTMARKER]The case (including mediation efforts) is ongoing against the City.","On April 15, 2015, a group of African-American citizens filed a class action lawsuit in the U.S. District Court for the Eastern District of Missouri against the City of St. Ann (the City) alleging constitutional violations arising from their failure to pay fines for municipal ordinance violations (Counts I-V).[SENTMARKER]The plaintiffs sought declaratory, injunctive, and compensatory relief.[SENTMARKER]The plaintiffs alleged that the Defendants' practice of extorting money from thousands of poor, disproportionately black people in the St. Louis region created a modern-day police state and debtors' prison scheme that has no place in American society."
22,"In June 2017, a man awaiting criminal trial and Lexington National Insurance Corporation filed this lawsuit in the U.S. District Court for the District of New Jersey.[SENTMARKER]The plaintiffs alleged that that the Criminal Justice Reform Act violated the bail provision of the Eighth Amendment, due process under the Fourteenth Amendment, and freedom from unreasonable search and seizure under the Fourth Amendment because the act favored non-monetary pre-trial release conditions over bail.[SENTMARKER]After and appeal to the Third Circuit regarding denial of preliminary injunction and a subsequent denial of certiorari in the Supreme Court, the plaintiff voluntarily dismissed the case.[SENTMARKER]This case is now closed.","In January 2017, a New Jersey criminal defendant filed this suit in the U.S. District Court for the District of New Jersey.[SENTMARKER]The plaintiff alleged that New Jersey's criminal bail system violated the Eighth Amendment, the Due Process Clause of the Fourteenth Amendment, and the Fourth Amendment of the United States Constitution.[SENTMARKER]The District Court denied the plaintiff's motion for a preliminary injunction, finding that the State's interest in the defendant's release outweighed procedural due process concerns."
23,"Persons in the custody of the New York State Department of Correctional Services (DOCS) brought this class action against DOCS and the New York State Division of Parole (DOP) for the extra-judicial imposition of sentences requiring post-release supervision.[SENTMARKER]The defendants' motion to dismiss was denied by the District Court, and the Court of Appeals for the Second Circuit affirmed.[SENTMARKER]The defendants' motion for summary judgment was granted with respect to several defendants, but denied on the issue of qualified immunity; and plaintiffs' cross motion for partial summary judgment on the issue of liability for three officers was granted.[SENTMARKER]The defendants appealed the qualified immunity decision, but the Second Circuit affirmed.[SENTMARKER]On remand, the defendants moved for summary judgment again, but that motion was denied.[SENTMARKER]The case is currently scheduled for trial in Summer 2021.","On November 12, 2014, the New York State Department of Correctional Services (DOCS) and the N.Y.[SENTMARKER]Division of Parole (DOP) filed a Rule 12(b)(6) motion to dismiss on the 11 basis of qualified immunity.[SENTMARKER]On remand, the district court granted plaintiffs’ motion to certify the case as a class action, denied defendants’ crossmotion for summary judgment on the basis of the qualified immunity, denied plaintiffs’ cross-motion for partial summary judgment, and granted 5 plaintiffs’ Cross Motion for Summary Judgment holding defendants 6 personally liable.[SENTMARKER]The district court remanded the case to the lower court for further proceedings."
24,"Civil Rights Corps sued Tulsa County and various judicial officers, alleging that the court system operated a wealth-based detention system by detaining arrestees without inquiring into their ability to pay bail.[SENTMARKER]While the plaintiffs motion for preliminary injunction was denied, the plaintiffs motion for class certification is still pending.",Defendant Special Judges are appointed by Tulsa County district court judges.[SENTMARKER]They make bail determinations without inquiring into anyone’s ability to pay or into whether pretrial detention is necessary in each case.[SENTMARKER]The plaintiffs filed a class action suit in the U.S. District Court for the District of Oklahoma.[SENTMARKER]The court granted the plaintiffs' motion for a preliminary injunction.[SENTMARKER]The case is ongoing.
25,"On March 25, 2015, the plaintiffs filed a consumer class action on behalf of consumers nationwide who had been the subject of misleading and inaccurate background reports sold by the defendant, RealPage, Inc. to landlords.[SENTMARKER]The plaintiffs sued in the U.S. District Court for the Eastern District of Pennsylvania under the Fair Credit Reporting Act (FCRA), alleging that the defendant, RealPage, Inc., adopted and maintained a policy and practice of failing to timely update the criminal record information it maintained so as to eliminate records of cases that have been expunged, thus not accurately reflecting the final disposition of these cases.[SENTMARKER]Moreover, the plaintiffs alleged that the defendant systematically violated FCRA by failing to provide complete and accurate disclosures of all information the defendant maintains about consumers to these consumers upon request.[SENTMARKER]The parties settled, and the defendant agreed to provide consumers additional information about federal agencies responsible for enforcing FCRA, refrain from including expunged criminal records in tenant screening reports, and disclose the names of vendors who retrieved criminal record information to consumers, plus damages.[SENTMARKER]The settlement term ended in 2020, and the case is now closed.","On March 3, 2015, a class action lawsuit was filed in the United States District Court for the Eastern District of Pennsylvania against RealPage, Inc. (RealPage) on behalf of consumers nationwide who were subject to misleading and inaccurate background reports sold by RealPage to landlords.[SENTMARKER]The complaint alleged that RealPage violated the Fair Credit Reporting Act (FCRA), 15 U.S.C.  1681-1681x, by failing to timely update the criminal record information it maintains to eliminate records of cases that have been expunged, thus not accurately reflecting the final disposition of these cases.[SENTMARKER]On July 13, 2015, the case was transferred from the U.N.[SENTMARKER]District Court in Virginia to the District Court of Pennsylvania as a case related to the alleged violations of FCRA section 1681e(b) and 1681g(a) of the FCRA.[SENTMARKER]The case is ongoing."
